# Every instruction every opcode in text.rs is written as, filled in with x1 to x4, the constant 1
# and [x9, #16], then assembled by GNU as 2.42 (aarch64-linux-gnu-as) and read back with objdump -d.
# Columns: the word GNU as wrote, the line it was given, the opcode.
0b050022	add w2, w1, w5	xadd_8
0803fc82	stlxrb w3, w2, [x4]	xadd_8
35000003	cbnz w3, s	xadd_8
485ffc81	ldaxrh w1, [x4]	xadd_16
0b050022	add w2, w1, w5	xadd_16
4803fc82	stlxrh w3, w2, [x4]	xadd_16
35000003	cbnz w3, s	xadd_16
885ffc81	ldaxr w1, [x4]	xadd_32
0b050022	add w2, w1, w5	xadd_32
8803fc82	stlxr w3, w2, [x4]	xadd_32
35000003	cbnz w3, s	xadd_32
c85ffc81	ldaxr x1, [x4]	xadd_64
8b050022	add x2, x1, x5	xadd_64
c803fc82	stlxr w3, x2, [x4]	xadd_64
35000003	cbnz w3, s	xadd_64
085ffc81	ldaxrb w1, [x4]	xsub_8
4b050022	sub w2, w1, w5	xsub_8
0803fc82	stlxrb w3, w2, [x4]	xsub_8
35000003	cbnz w3, s	xsub_8
485ffc81	ldaxrh w1, [x4]	xsub_16
4b050022	sub w2, w1, w5	xsub_16
4803fc82	stlxrh w3, w2, [x4]	xsub_16
35000003	cbnz w3, s	xsub_16
885ffc81	ldaxr w1, [x4]	xsub_32
4b050022	sub w2, w1, w5	xsub_32
8803fc82	stlxr w3, w2, [x4]	xsub_32
35000003	cbnz w3, s	xsub_32
c85ffc81	ldaxr x1, [x4]	xsub_64
cb050022	sub x2, x1, x5	xsub_64
c803fc82	stlxr w3, x2, [x4]	xsub_64
35000003	cbnz w3, s	xsub_64
085ffc61	ldaxrb w1, [x3]	cmpxchg_8
6b24003f	cmp w1, w4, uxtb	cmpxchg_8
54000001	b.ne s	cmpxchg_8
0802fc65	stlxrb w2, w5, [x3]	cmpxchg_8
35000002	cbnz w2, s	cmpxchg_8
1a9f17e2	cset w2, eq	cmpxchg_8
485ffc61	ldaxrh w1, [x3]	cmpxchg_16
6b24203f	cmp w1, w4, uxth	cmpxchg_16
54000001	b.ne s	cmpxchg_16
4802fc65	stlxrh w2, w5, [x3]	cmpxchg_16
35000002	cbnz w2, s	cmpxchg_16
1a9f17e2	cset w2, eq	cmpxchg_16
885ffc61	ldaxr w1, [x3]	cmpxchg_32
6b04003f	cmp w1, w4	cmpxchg_32
54000001	b.ne s	cmpxchg_32
8802fc65	stlxr w2, w5, [x3]	cmpxchg_32
35000002	cbnz w2, s	cmpxchg_32
1a9f17e2	cset w2, eq	cmpxchg_32
c85ffc61	ldaxr x1, [x3]	cmpxchg_64
eb04003f	cmp x1, x4	cmpxchg_64
54000001	b.ne s	cmpxchg_64
c802fc65	stlxr w2, x5, [x3]	cmpxchg_64
35000002	cbnz w2, s	cmpxchg_64
1a9f17e2	cset w2, eq	cmpxchg_64
